Algorithm,DataType,Distribution,Size,Time(s)
MergeSort,string,almost_sorted,10000,0.0170
MergeSort,string,almost_sorted,100000,0.1920
MergeSort,string,almost_sorted,1000000,2.3640
MergeSort,string,half_sorted,10,0.0000
MergeSort,string,half_sorted,100,0.0000
MergeSort,string,half_sorted,1000,0.0020
MergeSort,string,half_sorted,10000,0.0160
MergeSort,string,half_sorted,100000,0.2120
MergeSort,string,half_sorted,1000000,2.6450
MergeSort,string,flat,10,0.0000
MergeSort,string,flat,100,0.0000
MergeSort,string,flat,1000,0.0010
MergeSort,string,flat,10000,0.0170
MergeSort,string,flat,100000,0.1770
MergeSort,string,flat,1000000,1.8560
InsertionSort,int,random,10,0.0000
InsertionSort,int,random,100,0.0000
InsertionSort,int,random,1000,0.0000
InsertionSort,int,random,10000,0.0750
InsertionSort,int,random,100000,TIMEOUT
InsertionSort,int,random,1000000,TIMEOUT
InsertionSort,int,sorted,10,0.0000
InsertionSort,int,sorted,100,0.0000
InsertionSort,int,sorted,1000,0.0000
InsertionSort,int,sorted,10000,0.0000
InsertionSort,int,sorted,100000,TIMEOUT
InsertionSort,int,sorted,1000000,TIMEOUT
InsertionSort,int,reverse,10,0.0000
InsertionSort,int,reverse,100,0.0000
InsertionSort,int,reverse,1000,0.0010
InsertionSort,int,reverse,10000,0.1400
InsertionSort,int,reverse,100000,TIMEOUT
InsertionSort,int,reverse,1000000,TIMEOUT
InsertionSort,int,almost_sorted,10,0.0000
InsertionSort,int,almost_sorted,100,0.0000
InsertionSort,int,almost_sorted,1000,0.0000
InsertionSort,int,almost_sorted,10000,0.0040
InsertionSort,int,almost_sorted,100000,TIMEOUT
InsertionSort,int,almost_sorted,1000000,TIMEOUT
InsertionSort,int,half_sorted,10,0.0000
InsertionSort,int,half_sorted,100,0.0000
InsertionSort,int,half_sorted,1000,0.0000
InsertionSort,int,half_sorted,10000,0.0270
InsertionSort,int,half_sorted,100000,TIMEOUT
InsertionSort,int,half_sorted,1000000,TIMEOUT
InsertionSort,int,flat,10,0.0000
InsertionSort,int,flat,100,0.0000
InsertionSort,int,flat,1000,0.0020
InsertionSort,int,flat,10000,0.0550
InsertionSort,int,flat,100000,TIMEOUT
InsertionSort,int,flat,1000000,TIMEOUT
InsertionSort,float,random,10,0.0000
InsertionSort,float,random,100,0.0000
InsertionSort,float,random,1000,0.0010
InsertionSort,float,random,10000,0.0660
InsertionSort,float,random,100000,TIMEOUT
InsertionSort,float,random,1000000,TIMEOUT
InsertionSort,float,sorted,10,0.0000
InsertionSort,float,sorted,100,0.0000
InsertionSort,float,sorted,1000,0.0000
InsertionSort,float,sorted,10000,0.0000
InsertionSort,float,sorted,100000,TIMEOUT
InsertionSort,float,sorted,1000000,TIMEOUT
InsertionSort,float,reverse,10,0.0000
InsertionSort,float,reverse,100,0.0000
InsertionSort,float,reverse,1000,0.0010
InsertionSort,float,reverse,10000,0.1390
InsertionSort,float,reverse,100000,TIMEOUT
InsertionSort,float,reverse,1000000,TIMEOUT
InsertionSort,float,almost_sorted,10,0.0000
InsertionSort,float,almost_sorted,100,0.0000
InsertionSort,float,almost_sorted,1000,0.0000
InsertionSort,float,almost_sorted,10000,0.0050
